language,prompt,bleu,rougeL,bertscore,parameter_coverage,return_coverage,exception_coverage,omission_rate,hallucination_sample_rate
java,ZS,0.032295861867582244,0.240449180635963,0.8585790339117573,0.5248669256222126,0.5326923076923077,0.1883617193836172,0.5106962949255696,0.085
java,OS,0.0330201305564076,0.25009898589391805,0.8614231004277042,0.484998561358078,0.507051282051282,0.2247566909975669,0.533681583600625,0.065
java,FS,0.038920608759741494,0.2661836394150334,0.8628380646350026,0.6362202081235314,0.6375000000000001,0.3108272506082725,0.40182683608849407,0.08854166666666667
javascript,ZS,0.01756338634417518,0.19356966766459538,0.8455988739482786,0.5781287118021812,0.4800123001230012,0.14423076923076925,0.46100123456790126,0.056875
javascript,OS,0.018573185450267777,0.2032471010784681,0.8500221502807818,0.5277791275240254,0.4234317343173432,0.1346153846153846,0.5134019400352734,0.033125
javascript,FS,0.0194019018497992,0.2097941597042808,0.8520105248600603,0.5876390238635136,0.4268142681426814,0.1185897435897436,0.4745582892416225,0.02625
python,ZS,0.023931840905617386,0.24241119695800928,0.863325879243733,0.49232549857549857,0.4522506082725061,0.12630208333333334,0.5241352444351096,0.061875000000000006
python,OS,0.02492625187571013,0.24342561548842034,0.8647879550071075,0.4755112942612943,0.29197080291970806,0.09537760416666667,0.5955816832164541,0.024374999999999997
python,FS,0.024262768884061838,0.24109791118759913,0.8649633155801673,0.41324722730972735,0.3351581508515815,0.11067708333333333,0.6139704952878807,0.026458333333333334
