family,model,language,prompt,num_samples,mean_latency_seconds,mean_generated_word_count,bleu,rouge1,rouge2,rougeL,bertscore,parameter_coverage,return_coverage,exception_coverage,omission_rate,hallucination_sample_rate,mean_hallucination_count,input_file,lexical_summary_file,code_grounded_summary_file
commercial-new,gpt-5.1-codex,java,OS,400,1.69095156815034,19.2325,0.018511966162306447,0.2617365747084952,0.06376761966918922,0.21270960942363418,0.8538447521140228,0.49479930945187744,0.5115384615384615,0.32116788321167883,0.5048852701702442,0.035,0.0375,outputs/segregated_results/commercial-base/raw/commercial-new/gpt_5_1_codex_P1_one_shot_java_400_v1.jsonl,outputs\segregated_results\commercial-base\may2026\commercial-new\gpt_5_1_codex_P1_one_shot_java_400_v1_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\gpt_5_1_codex_P1_one_shot_java_400_v1_code_grounded_summary.json
commercial-new,gpt-5.1-codex,java,FS,400,2.1143141226749984,18.91,0.01761712614826625,0.2600915989680246,0.06864852355643686,0.20925251085254862,0.8531184235507956,0.5046899726658035,0.5,0.3175182481751825,0.4983469035282507,0.035,0.04,outputs/segregated_results/commercial-base/raw/gpt_5_1_codex_P1_few_shot_java_400_v1.jsonl,outputs\segregated_results\commercial-base\may2026\commercial-new\gpt_5_1_codex_P1_few_shot_java_400_v1_summary.json,outputs\segregated_results\commercial-base\may2026\commercial-new\gpt_5_1_codex_P1_few_shot_java_400_v1_code_grounded_summary.json
open-source,Qwen/Qwen2.5-1.5B-Instruct,java,ZS,400,5.43427075,15.0,0.015678292408489468,0.24327598772841588,0.058814114990213044,0.2008592805376787,0.8549104008078575,0.3376420658898,0.29615384615384616,0.0072992700729927005,0.7087990377498149,0.0075,0.0075,outputs/segregated_results/open-source-base/raw/qwen25_1_5b_instruct_P1_zero_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-base\may2026\open-source\qwen25_1_5b_instruct_P1_zero_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-base\correctness\qwen25_1_5b_instruct_P1_zero_shot_java_400_v1_correctness_summary.json
open-source,Qwen/Qwen2.5-1.5B-Instruct,java,OS,400,26.77457875,25.85,0.01866338711503719,0.2525170120960751,0.06100039586961739,0.2002819415261703,0.8509395052492619,0.38258523953388,0.4807692307692308,0.014598540145985401,0.631186775228226,0.035,0.035,outputs/segregated_results/open-source-base/raw/open-source/qwen25_1_5b_instruct_P1_one_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-base\may2026\open-source\qwen25_1_5b_instruct_P1_one_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-base\correctness\qwen25_1_5b_instruct_P1_one_shot_java_400_v1_correctness.json_summary.json
open-source,Qwen/Qwen2.5-1.5B-Instruct,java,FS,400,13.45594725,20.5,0.023566576320112286,0.281362127759569,0.08847542226413443,0.2320088336693065,0.8591046886146069,0.4900302114803625,0.5923076923076923,0.28102189781021897,0.5066432272390822,0.0575,0.085,outputs/segregated_results/open-source-base/raw/qwen25_1_5b_instruct_P1_few_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-base\may2026\open-source\qwen25_1_5b_instruct_P1_few_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-base\correctness\qwen25_1_5b_instruct_P1_few_shot_java_400_v1_correctness_summary.json
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,java,ZS,400,11.24634875,41.2425,0.017634993731589974,0.25132561689776534,0.06341688923597451,0.19147687021576534,0.8459269401431083,0.45661055963170766,0.6384615384615384,0.16058394160583941,0.5277633851468049,0.0575,0.0625,outputs/segregated_results/open-source-base/raw/qwen25_coder_1_5b_instruct_P1_zero_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-base\eval\qwen25_coder_1_5b_instruct_P1_zero_shot_java_400_v1_eval.json_summary.json,outputs\segregated_results\open-source-base\correctness\qwen25_coder_1_5b_instruct_P1_zero_shot_java_400_v1_correctness_summary.json
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,java,OS,400,45.36852075,25.1025,0.0238419782130182,0.2716894789273776,0.0768318241445614,0.2187801523572979,0.8540765762329101,0.38206013523234067,0.36538461538461536,0.0364963503649635,0.663847767086109,0.02,0.025,outputs/segregated_results/open-source-base/raw/open-source/qwen25_coder_1_5b_instruct_P1_one_shot_java_400_v2_rerun.jsonl,outputs\segregated_results\open-source-base\may2026\open-source\qwen25_coder_1_5b_instruct_P1_one_shot_java_400_v2_rerun_summary.json,outputs\segregated_results\open-source-base\correctness\qwen25_coder_1_5b_instruct_P1_one_shot_java_400_v2_rerun_correctness.json_summary.json
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,java,FS,400,17.433485,41.275,0.0184501064750312,0.25287138168568335,0.06354168521102922,0.19573888533081812,0.847053844332695,0.47297511149474897,0.7153846153846154,0.3686131386861314,0.46764125339254875,0.0675,0.0725,outputs/segregated_results/open-source-base/raw/qwen25_coder_1_5b_instruct_P1_few_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-base\eval\qwen25_coder_1_5b_instruct_P1_few_shot_java_400_v1_eval.json_summary.json,outputs\segregated_results\open-source-base\correctness\qwen25_coder_1_5b_instruct_P1_few_shot_java_400_v1_correctness_summary.json
open-source,google/codegemma-2b,java,ZS,400,21.63805175,47.87,0.007659844267562074,0.15502797399199367,0.03371928173751249,0.11749938602338109,0.8297033065793205,0.4767155804920155,0.5615384615384615,0.10218978102189781,0.5448988403651616,0.1925,0.24,outputs/segregated_results/open-source-base/raw/codegemma_2b_P1_zero_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-base\may2026\open-source\codegemma_2b_P1_zero_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-base\may2026\open-source\codegemma_2b_P1_zero_shot_java_400_v1_code_grounded_summary.json
open-source,google/codegemma-2b,java,OS,400,45.67322675,9.7175,0.021307831157167074,0.2669674151995775,0.09366131468853993,0.2326505715449649,0.8602831423282623,0.29650410012947775,0.3730769230769231,0.0036496350364963502,0.714094497902788,0.0125,0.015,outputs/segregated_results/open-source-base/raw/codegemma_2b_P1_one_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-base\may2026\open-source\codegemma_2b_P1_one_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-base\correctness\codegemma_2b_P1_one_shot_java_400_v1_correctness.json_summary.json
